Package,LibPath,Version,Priority,Built
acepack,C:/Users/ds93656/Documents/R/win-library/3.3,1.4.1,NA,3.3.3
assertthat,C:/Users/ds93656/Documents/R/win-library/3.3,0.2.0,NA,3.3.3
backports,C:/Users/ds93656/Documents/R/win-library/3.3,1.1.2,NA,3.3.3
base64enc,C:/Users/ds93656/Documents/R/win-library/3.3,0.1-3,NA,3.3.2
BH,C:/Users/ds93656/Documents/R/win-library/3.3,1.66.0-1,NA,3.3.3
bindr,C:/Users/ds93656/Documents/R/win-library/3.3,0.1.1,NA,3.3.3
bindrcpp,C:/Users/ds93656/Documents/R/win-library/3.3,0.2.2,NA,3.3.3
bit,C:/Users/ds93656/Documents/R/win-library/3.3,1.1-12,NA,3.3.2
bit64,C:/Users/ds93656/Documents/R/win-library/3.3,0.9-7,NA,3.3.3
blob,C:/Users/ds93656/Documents/R/win-library/3.3,1.1.1,NA,3.3.3
broom,C:/Users/ds93656/Documents/R/win-library/3.3,0.4.4,NA,3.3.3
callr,C:/Users/ds93656/Documents/R/win-library/3.3,2.0.3,NA,3.3.3
cellranger,C:/Users/ds93656/Documents/R/win-library/3.3,1.1.0,NA,3.3.3
checkmate,C:/Users/ds93656/Documents/R/win-library/3.3,1.8.5,NA,3.3.3
chron,C:/Users/ds93656/Documents/R/win-library/3.3,2.3-52,NA,3.3.3
cli,C:/Users/ds93656/Documents/R/win-library/3.3,1.0.0,NA,3.3.3
clipr,C:/Users/ds93656/Documents/R/win-library/3.3,0.4.1,NA,3.3.3
clisymbols,C:/Users/ds93656/Documents/R/win-library/3.3,1.2.0,NA,3.3.3
cmprsk,C:/Users/ds93656/Documents/R/win-library/3.3,2.2-7,NA,3.3.3
colorspace,C:/Users/ds93656/Documents/R/win-library/3.3,1.3-2,NA,3.3.3
cowplot,C:/Users/ds93656/Documents/R/win-library/3.3,0.9.3,NA,3.3.3
crayon,C:/Users/ds93656/Documents/R/win-library/3.3,1.3.4,NA,3.3.3
crosstalk,C:/Users/ds93656/Documents/R/win-library/3.3,1.0.0,NA,3.3.3
curl,C:/Users/ds93656/Documents/R/win-library/3.3,3.2,NA,3.3.3
data.table,C:/Users/ds93656/Documents/R/win-library/3.3,1.10.4-3,NA,3.3.3
